Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Included / United States,Price / United States,Compare At Price / United States,Status
example-product-title-38,,,,,,,,,Red,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
example-product-title-38,,,,,,,,,Yellow,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
example-product-title-37,Product image swatch,"<p style=""padding-bottom: 30px;"" data-mce-style=""padding-bottom: 30px;"">Cheer on your favorite red and white team in eye-popping style with these red &amp; white striped game bib overalls! Each pair is made of 100 percent cotton for a comfortable, breathable fit regardless of the weather and includes easily adjustable shoulder straps for fans with long torsos. Whether you’re on rickety bleachers on a Friday night or trying to get on television at the Sunday morning tailgate, our red &amp; white striped game bibs will make you stand out in the crowd and leave an impression. These particular bib overalls are also great as casual Clauswear for any Saint Nicks who might be taking in a game during the holiday offseason!</p>
<div style=""--xs: 12; --md: 6;"" data-mce-style=""--xs: 12; --md: 6;"">
<h3>BRAND</h3>
<p>With eye-catching artwork, step-by-step diagrams, and illustrations that break down complicated ideas into manageable concepts, The Science Book will have readers conversant in genetic engineering, black holes, and global warming in no time. Along the way are found mini-biographies of the most well-known scientists, and a glossary of helpful scientific terms. For students, and students of the world, there is no better way to explore the fascinating, strange, and mysterious world of science than in The Science Book.</p>
</div>
<div>
<h3>PRODUCT DETAILS</h3>
<ul>
<li>You show me what is deep as sea</li>
<li>Crew neck</li>
<li>Short sleeves</li>
<li>Large logo print to chest</li>
<li>Regular fit</li>
<li>True size</li>
</ul>
</div>
<div>
<h3>SIZE &amp; FIT</h3>
<ul>
<li>Model’s height: 182.5cm/6’0″</li>
<li>Model is wearing: Size Medium</li>
</ul>
</div>
<div>
<h3>ABOUT ME</h3>
<ul>
<li>Soft, breathable jersey</li>
<li>T-shirt fabric</li>
<li>Main: 95% Cotton, 5% Elastane</li>
</ul>
</div>",Clothina,Apparel & Accessories > Clothing > Shirts & Tops,"","Hot, Jewerly",true,Color,Green,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
example-product-title-37,,,,,,,,,Red,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
example-product-title-37,,,,,,,,,Yellow,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
example-product-title-55,Description layout 02,"<p style=""padding-bottom: 30px;"" data-mce-style=""padding-bottom: 30px;"">Cheer on your favorite red and white team in eye-popping style with these red &amp; white striped game bib overalls! Each pair is made of 100 percent cotton for a comfortable, breathable fit regardless of the weather and includes easily adjustable shoulder straps for fans with long torsos. Whether you’re on rickety bleachers on a Friday night or trying to get on television at the Sunday morning tailgate, our red &amp; white striped game bibs will make you stand out in the crowd and leave an impression. These particular bib overalls are also great as casual Clauswear for any Saint Nicks who might be taking in a game during the holiday offseason!</p>
<div style=""--xs: 12; --md: 6;"" data-mce-style=""--xs: 12; --md: 6;"">
<h3>BRAND</h3>
<p>With eye-catching artwork, step-by-step diagrams, and illustrations that break down complicated ideas into manageable concepts, The Science Book will have readers conversant in genetic engineering, black holes, and global warming in no time. Along the way are found mini-biographies of the most well-known scientists, and a glossary of helpful scientific terms. For students, and students of the world, there is no better way to explore the fascinating, strange, and mysterious world of science than in The Science Book.</p>
</div>
<div>
<h3>PRODUCT DETAILS</h3>
<ul>
<li>You show me what is deep as sea</li>
<li>Crew neck</li>
<li>Short sleeves</li>
<li>Large logo print to chest</li>
<li>Regular fit</li>
<li>True size</li>
</ul>
</div>
<div>
<h3>SIZE &amp; FIT</h3>
<ul>
<li>Model’s height: 182.5cm/6’0″</li>
<li>Model is wearing: Size Medium</li>
</ul>
</div>
<div>
<h3>ABOUT ME</h3>
<ul>
<li>Soft, breathable jersey</li>
<li>T-shirt fabric</li>
<li>Main: 95% Cotton, 5% Elastane</li>
</ul>
</div>",Clothina,Apparel & Accessories > Clothing > Shirts & Tops,"","Hot, Jewerly",true,Title,Default Title,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
example-product-title-54,Description layout 01,"<p style=""padding-bottom: 30px;"" data-mce-style=""padding-bottom: 30px;"">Cheer on your favorite red and white team in eye-popping style with these red &amp; white striped game bib overalls! Each pair is made of 100 percent cotton for a comfortable, breathable fit regardless of the weather and includes easily adjustable shoulder straps for fans with long torsos. Whether you’re on rickety bleachers on a Friday night or trying to get on television at the Sunday morning tailgate, our red &amp; white striped game bibs will make you stand out in the crowd and leave an impression. These particular bib overalls are also great as casual Clauswear for any Saint Nicks who might be taking in a game during the holiday offseason!</p>
<div style=""--xs: 12; --md: 6;"" data-mce-style=""--xs: 12; --md: 6;"">
<h3>BRAND</h3>
<p>With eye-catching artwork, step-by-step diagrams, and illustrations that break down complicated ideas into manageable concepts, The Science Book will have readers conversant in genetic engineering, black holes, and global warming in no time. Along the way are found mini-biographies of the most well-known scientists, and a glossary of helpful scientific terms. For students, and students of the world, there is no better way to explore the fascinating, strange, and mysterious world of science than in The Science Book.</p>
</div>
<div>
<h3>PRODUCT DETAILS</h3>
<ul>
<li>You show me what is deep as sea</li>
<li>Crew neck</li>
<li>Short sleeves</li>
<li>Large logo print to chest</li>
<li>Regular fit</li>
<li>True size</li>
</ul>
</div>
<div>
<h3>SIZE &amp; FIT</h3>
<ul>
<li>Model’s height: 182.5cm/6’0″</li>
<li>Model is wearing: Size Medium</li>
</ul>
</div>
<div>
<h3>ABOUT ME</h3>
<ul>
<li>Soft, breathable jersey</li>
<li>T-shirt fabric</li>
<li>Main: 95% Cotton, 5% Elastane</li>
</ul>
</div>",Clothina,Apparel & Accessories > Clothing > Shirts & Tops,"","Hot, Jewerly",true,Title,Default Title,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
example-product-title-53,Subscription product,"<p style=""padding-bottom: 30px;"" data-mce-style=""padding-bottom: 30px;"">Cheer on your favorite red and white team in eye-popping style with these red &amp; white striped game bib overalls! Each pair is made of 100 percent cotton for a comfortable, breathable fit regardless of the weather and includes easily adjustable shoulder straps for fans with long torsos. Whether you’re on rickety bleachers on a Friday night or trying to get on television at the Sunday morning tailgate, our red &amp; white striped game bibs will make you stand out in the crowd and leave an impression. These particular bib overalls are also great as casual Clauswear for any Saint Nicks who might be taking in a game during the holiday offseason!</p>
<div style=""--xs: 12; --md: 6;"" data-mce-style=""--xs: 12; --md: 6;"">
<h3>BRAND</h3>
<p>With eye-catching artwork, step-by-step diagrams, and illustrations that break down complicated ideas into manageable concepts, The Science Book will have readers conversant in genetic engineering, black holes, and global warming in no time. Along the way are found mini-biographies of the most well-known scientists, and a glossary of helpful scientific terms. For students, and students of the world, there is no better way to explore the fascinating, strange, and mysterious world of science than in The Science Book.</p>
</div>
<div>
<h3>PRODUCT DETAILS</h3>
<ul>
<li>You show me what is deep as sea</li>
<li>Crew neck</li>
<li>Short sleeves</li>
<li>Large logo print to chest</li>
<li>Regular fit</li>
<li>True size</li>
</ul>
</div>
<div>
<h3>SIZE &amp; FIT</h3>
<ul>
<li>Model’s height: 182.5cm/6’0″</li>
<li>Model is wearing: Size Medium</li>
</ul>
</div>
<div>
<h3>ABOUT ME</h3>
<ul>
<li>Soft, breathable jersey</li>
<li>T-shirt fabric</li>
<li>Main: 95% Cotton, 5% Elastane</li>
</ul>
</div>",Clothina,Apparel & Accessories > Clothing > Shirts & Tops,"","Hot, Jewerly",true,Title,Default Title,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
example-product-title-52,External/Affiliate product,"<p style=""padding-bottom: 30px;"" data-mce-style=""padding-bottom: 30px;"">Cheer on your favorite red and white team in eye-popping style with these red &amp; white striped game bib overalls! Each pair is made of 100 percent cotton for a comfortable, breathable fit regardless of the weather and includes easily adjustable shoulder straps for fans with long torsos. Whether you’re on rickety bleachers on a Friday night or trying to get on television at the Sunday morning tailgate, our red &amp; white striped game bibs will make you stand out in the crowd and leave an impression. These particular bib overalls are also great as casual Clauswear for any Saint Nicks who might be taking in a game during the holiday offseason!</p>
<div style=""--xs: 12; --md: 6;"" data-mce-style=""--xs: 12; --md: 6;"">
<h3>BRAND</h3>
<p>With eye-catching artwork, step-by-step diagrams, and illustrations that break down complicated ideas into manageable concepts, The Science Book will have readers conversant in genetic engineering, black holes, and global warming in no time. Along the way are found mini-biographies of the most well-known scientists, and a glossary of helpful scientific terms. For students, and students of the world, there is no better way to explore the fascinating, strange, and mysterious world of science than in The Science Book.</p>
</div>
<div>
<h3>PRODUCT DETAILS</h3>
<ul>
<li>You show me what is deep as sea</li>
<li>Crew neck</li>
<li>Short sleeves</li>
<li>Large logo print to chest</li>
<li>Regular fit</li>
<li>True size</li>
</ul>
</div>
<div>
<h3>SIZE &amp; FIT</h3>
<ul>
<li>Model’s height: 182.5cm/6’0″</li>
<li>Model is wearing: Size Medium</li>
</ul>
</div>
<div>
<h3>ABOUT ME</h3>
<ul>
<li>Soft, breathable jersey</li>
<li>T-shirt fabric</li>
<li>Main: 95% Cotton, 5% Elastane</li>
</ul>
</div>",Clothina,Apparel & Accessories > Clothing > Shirts & Tops,"","Hot, Jewerly",true,Title,Default Title,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
example-product-title-51,Simple product,"<p style=""padding-bottom: 30px;"" data-mce-style=""padding-bottom: 30px;"">Cheer on your favorite red and white team in eye-popping style with these red &amp; white striped game bib overalls! Each pair is made of 100 percent cotton for a comfortable, breathable fit regardless of the weather and includes easily adjustable shoulder straps for fans with long torsos. Whether you’re on rickety bleachers on a Friday night or trying to get on television at the Sunday morning tailgate, our red &amp; white striped game bibs will make you stand out in the crowd and leave an impression. These particular bib overalls are also great as casual Clauswear for any Saint Nicks who might be taking in a game during the holiday offseason!</p>
<div style=""--xs: 12; --md: 6;"" data-mce-style=""--xs: 12; --md: 6;"">
<h3>BRAND</h3>
<p>With eye-catching artwork, step-by-step diagrams, and illustrations that break down complicated ideas into manageable concepts, The Science Book will have readers conversant in genetic engineering, black holes, and global warming in no time. Along the way are found mini-biographies of the most well-known scientists, and a glossary of helpful scientific terms. For students, and students of the world, there is no better way to explore the fascinating, strange, and mysterious world of science than in The Science Book.</p>
</div>
<div>
<h3>PRODUCT DETAILS</h3>
<ul>
<li>You show me what is deep as sea</li>
<li>Crew neck</li>
<li>Short sleeves</li>
<li>Large logo print to chest</li>
<li>Regular fit</li>
<li>True size</li>
</ul>
</div>
<div>
<h3>SIZE &amp; FIT</h3>
<ul>
<li>Model’s height: 182.5cm/6’0″</li>
<li>Model is wearing: Size Medium</li>
</ul>
</div>
<div>
<h3>ABOUT ME</h3>
<ul>
<li>Soft, breathable jersey</li>
<li>T-shirt fabric</li>
<li>Main: 95% Cotton, 5% Elastane</li>
</ul>
</div>",Clothina,Apparel & Accessories > Clothing > Shirts & Tops,"","Hot, Jewerly",true,Title,Default Title,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
example-product-title-50,Popup video,"<p style=""padding-bottom: 30px;"" data-mce-style=""padding-bottom: 30px;"">Cheer on your favorite red and white team in eye-popping style with these red &amp; white striped game bib overalls! Each pair is made of 100 percent cotton for a comfortable, breathable fit regardless of the weather and includes easily adjustable shoulder straps for fans with long torsos. Whether you’re on rickety bleachers on a Friday night or trying to get on television at the Sunday morning tailgate, our red &amp; white striped game bibs will make you stand out in the crowd and leave an impression. These particular bib overalls are also great as casual Clauswear for any Saint Nicks who might be taking in a game during the holiday offseason!</p>
<div style=""--xs: 12; --md: 6;"" data-mce-style=""--xs: 12; --md: 6;"">
<h3>BRAND</h3>
<p>With eye-catching artwork, step-by-step diagrams, and illustrations that break down complicated ideas into manageable concepts, The Science Book will have readers conversant in genetic engineering, black holes, and global warming in no time. Along the way are found mini-biographies of the most well-known scientists, and a glossary of helpful scientific terms. For students, and students of the world, there is no better way to explore the fascinating, strange, and mysterious world of science than in The Science Book.</p>
</div>
<div>
<h3>PRODUCT DETAILS</h3>
<ul>
<li>You show me what is deep as sea</li>
<li>Crew neck</li>
<li>Short sleeves</li>
<li>Large logo print to chest</li>
<li>Regular fit</li>
<li>True size</li>
</ul>
</div>
<div>
<h3>SIZE &amp; FIT</h3>
<ul>
<li>Model’s height: 182.5cm/6’0″</li>
<li>Model is wearing: Size Medium</li>
</ul>
</div>
<div>
<h3>ABOUT ME</h3>
<ul>
<li>Soft, breathable jersey</li>
<li>T-shirt fabric</li>
<li>Main: 95% Cotton, 5% Elastane</li>
</ul>
</div>",Clothina,Apparel & Accessories > Clothing > Shirts & Tops,"","Hot, Jewerly",true,Title,Default Title,,,,,,0.0,shopify,deny,manual,60.00,70.00,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
